noise=0drift=0.1_smoothed,noise=0.1drift=0.1_smoothed,noise=0.15drift=0.1_smoothed
-0.423274942,-0.423274942,-0.423274942
-0.398737581,-0.417542742,-0.396782686
-0.376873266,-0.415690741,-0.351744463
-0.342975814,-0.382269311,-0.313345738
-0.317249228,-0.344789997,-0.286312223
-0.262088277,-0.289828227,-0.212539064
-0.204630188,-0.225386893,-0.149942743
-0.148242265,-0.148943255,-0.100197316
-0.095279586,-0.076269238,-0.033719598
-0.041140326,-0.012420173,0.034305164
0.005155444,0.043935257,0.077601983
0.041635595,0.090104778,0.123247967
0.073658859,0.123463486,0.159166638
0.089167508,0.13220081,0.165742818
0.097593432,0.128365842,0.15314568
0.097066852,0.122342167,0.139426181
0.0917748,0.110619448,0.129847899
0.080171954,0.099714906,0.121400196
0.066860783,0.086474283,0.113843699
0.051238349,0.070106928,0.119888049
0.035834299,0.045663041,0.124668909
0.02302751,0.025189176,0.118035991
0.01183994,-0.000524216,0.106346745
0.002425743,-0.021515007,0.093735624
-0.003950157,-0.03860665,0.075305654
-0.008994523,-0.045936816,0.051986116
-0.014983608,-0.049694071,0.033216697
-0.01912991,-0.045856313,0.024933455
-0.022058723,-0.040378769,0.024963759
-0.025176657,-0.027588394,0.032973274
-0.02632621,-0.016096341,0.053168715
-0.027478738,-0.005638956,0.07571737
-0.029715711,-0.005387824,0.093777679
-0.03088672,-0.00700572,0.098091781
-0.032542311,-0.017095345,0.100191725
-0.034344693,-0.03228374,0.094085483
-0.034728373,-0.051337671,0.053565633
-0.035106144,-0.067731218,0.010904217
-0.034317156,-0.085310707,-0.046232705
-0.029451504,-0.098384032,-0.106106255
-0.027290528,-0.103517629,-0.14956658
-0.025337547,-0.105867655,-0.133564849
-0.023532419,-0.100291125,-0.116842931
-0.024466172,-0.093314374,-0.055142586
-0.029532636,-0.086372496,0.013764554
-0.032271086,-0.078351079,0.069876233
-0.035258664,-0.069235256,0.099040996
-0.043844854,-0.062417805,0.118436405
-0.051310984,-0.054464653,0.111378723
-0.06006156,-0.04693257,0.101122512
-0.067445514,-0.04288017,0.089331697
-0.078946771,-0.041263102,0.049643544
-0.082639879,-0.039878312,-0.001726204
-0.08827154,-0.039586279,-0.059271391
-0.090953906,-0.038979268,-0.117945772
-0.097382599,-0.037546014,-0.177825614
-0.098902664,-0.03639551,-0.202455798
-0.102590779,-0.035414447,-0.205073482
-0.103671487,-0.03628988,-0.194406778
-0.107936828,-0.037182896,-0.174689991
-0.108642243,-0.039583198,-0.15233144
-0.111285378,-0.041686677,-0.117245768
-0.1123251,-0.043830239,-0.107161549
-0.110964282,-0.043766907,-0.100438908
-0.107488825,-0.043497508,-0.103830508
-0.100512299,-0.043137816,-0.115940287
-0.092526469,-0.042756853,-0.149910922
-0.081143172,-0.041938156,-0.146502634
-0.073151722,-0.042706935,-0.143467712
-0.062725449,-0.044650712,-0.138240799
-0.05651819,-0.045959796,-0.126445601
-0.048896803,-0.047254002,-0.110903791
-0.044867211,-0.047831724,-0.107907804
-0.040189909,-0.045969105,-0.104362371
-0.037965735,-0.042978133,-0.101231898
-0.035545645,-0.04189568,-0.098787542
-0.034503766,-0.043360692,-0.097695911
-0.033610664,-0.048127614,-0.086421809
-0.033408747,-0.070671668,-0.077343183
-0.033684125,-0.10359981,-0.085019779
-0.034556146,-0.13569095,-0.08158626
-0.037199013,-0.159232648,-0.07926205
-0.040638874,-0.179191407,-0.054921322
-0.048626101,-0.178528386,-0.031502481
-0.057689938,-0.165207372,0.015206595
-0.069141522,-0.149777281,0.045650696
-0.081033056,-0.137881098,0.076143761
-0.091354962,-0.117605547,0.062725604
-0.093897667,-0.10118942,0.049918395
-0.096761232,-0.067436892,0.025010175
-0.092202279,-0.03570632,0.007845354
-0.087056627,-0.00490527,-0.008370065
-0.08590203,0.014305802,-0.016155223
-0.087678238,0.033311836,-0.02539522
-0.087718298,0.029686955,-0.029226561
-0.093023414,0.023300147,-0.030742318
-0.094671809,0.015266666,-0.026232275
-0.09100839,0.007180226,-0.018616132
-0.087661735,-0.00103673,-0.009670804
-0.079851322,-0.007827207,0.000904112
-0.067346587,-0.01359326,0.009666764
-0.057930372,-0.020887703,0.012343251
-0.053040541,-0.02632702,0.014959412
-0.049806829,-0.031620498,0.009283427
-0.050425827,-0.03716893,0.003678603
-0.053597325,-0.039507542,0.005574957
-0.054779717,-0.040208253,0.005861633
-0.052815833,-0.041201303,-0.012032072
-0.050772689,-0.04075618,-0.050965141
-0.047364164,-0.039625738,-0.104158922
-0.045085873,-0.036697805,-0.174255601
-0.044932221,-0.033988517,-0.222699629
-0.044248828,-0.03230437,-0.273062344
-0.04418412,-0.03271093,-0.300387418
-0.044528129,-0.030719067,-0.322627983
-0.047133863,-0.031664605,
-0.047763245,-0.031819938,
-0.050554373,-0.030150307,
-0.052021465,-0.026908926,
-0.055546171,-0.025757142,
-0.061003448,-0.026391783,
-0.069388303,-0.0288125,
-0.082404879,-0.0319689,
-0.097129485,-0.035981282,
-0.114260822,-0.042232087,
-0.131626683,-0.045006119,
-0.148160916,-0.045439832,
-0.155351686,-0.046477094,
-0.162949,-0.050236866,
-0.17069501,-0.057340987,
-0.173870152,-0.072429882,
,-0.088681951,
,-0.103975627,
